,Tipo,Dormitórios,Banheiros,Garagens,Bairro,Valor,Suítes,Mobiliado
0,Apartamento Padrão,1,1,2, Jardim Paraíso,1750.0,0,Sim
1,Casa Padrão,3,1,3, Jardim Embaré,2083.75,1,Não
2,Apartamento Padrão,2,1,1, Vila Celina,1667.5,0,Não
3,Casa Padrão,1,1,1, Jardim Social Presidente Collor,695.0,0,Não
4,Casa Padrão,3,1,1, Vila Faria,2778.75,1,Sim
5,Apartamento Padrão,2,1,1, Parque Arnold Schimidt,1390.0,1,Sim
6,Apartamento Padrão,1,1,0, Centro,1390.0,0,Não
7,Apartamento Kitnet,1,1,0, Jardim Centenário,695.0,0,Não
8,Casa Padrão,1,1,0, Parque Industrial,972.5,0,Não
9,Apartamento Padrão,2,1,1, Parque Faber Castell I,1667.5,1,Não
10,Casa Padrão,3,4,4, Jardim Santa Paula,4750.0,2,Sim
11,Apartamento Padrão,1,1,1, Recreio São Judas Tadeu,1528.75,0,Sim
12,Casa Padrão,3,1,10, Parque Belvedere,5833.75,1,Sim
13,Apartamento Padrão,2,1,1, Jardim Gibertoni,1806.25,1,Não
14,Casa Padrão,1,1,1, Jardim Paraíso,1125.0,0,Não
15,Casa Padrão,2,1,2, Jardim Nova Sao Carlos,1667.5,0,Não
16,Casa Padrão,2,1,2, Loteamento Habitacional São Car,1667.5,0,Não
17,Casa Padrão,3,1,0, Vila Costa do Sol,1667.5,1,Não
18,Apartamento Padrão,2,1,1, Residencial Monsenhor Romeu Tortorelli,1390.0,0,Sim
19,Casa Edícula,2,1,8, Vila Monteiro (Gleba I),1875.0,0,Não
20,Apartamento Padrão,2,1,1, Jardim Nova Sao Carlos,1250.0,0,Sim
21,Casa Padrão,5,1,3, Parque Santa Felícia Jardim,6250.0,3,Sim
22,Casa Padrão,3,1,2, Parque Santa Felícia Jardim,1667.5,1,Não
23,Apartamento Padrão,2,1,1, Parque Santa Mônica,1667.5,1,Sim
24,Apartamento Padrão,2,1,1, Jardim Nova Sao Carlos,1667.5,0,Sim
25,Apartamento Padrão,2,1,1, Jardim Nova Sao Carlos,972.5,0,Não
